"id","device_mac","display_name","phone_number","email","organization","sync_ts"
"1","AA:OC:KW:11:22:33","Kwame Boateng Asare","+233900500001","kwame.asare@gmail.com","","2024-12-14T09:00:00Z"
"2","AA:OC:KW:11:22:33","Abena Darko","+233900500002","abena.darko@gmail.com","","2024-12-14T09:00:00Z"
"3","AA:OC:KW:11:22:33","Papa Kofi Mensah","WITHHELD","","","2024-12-14T09:00:00Z"
"4","AA:OC:KW:11:22:33","Adjoa Sarpong","+233900500004","","","2024-12-14T09:00:00Z"
"5","AA:OC:KW:11:22:33","Nii Lantey Kwei","+233900500005","","","2024-12-14T09:00:00Z"
"6","AA:OC:KW:11:22:33","DSP Emmanuel Quaye","+233900500006","e.quaye@nacoc.gov.gh","NACOC","2024-12-14T09:00:00Z"
"7","AA:OC:KW:11:22:33","Yaa Boateng","+233900500007","","Ghana Immigration Service","2024-12-14T09:00:00Z"
"8","AA:OC:KW:11:22:33","Kofi Amankwah","+233900500008","","Warehouse B4 Tema","2024-12-14T09:00:00Z"
"9","AA:OC:KW:11:22:33","Dr. Akua Asante","+233900500009","a.asante@forensicsgh.gov.gh","Ghana Forensics Authority","2024-12-14T09:00:00Z"
"10","AA:OC:KW:11:22:33","Sgt. Lartey Tetteh","+233900500010","","Ghana Police — Aflao","2024-12-14T09:00:00Z"
"11","AA:OC:KW:11:22:33","Emmanuel Ofori NACOC","+233900500011","e.ofori@nacoc.gov.gh","NACOC Forensics","2024-12-14T09:00:00Z"
